id,type,name,alarm,alarm_col,core,node,parent,depth
0,Site,Site,0,9,,,,0
1,Array,Array,0,9,,,0,1
2,Core,Core.1,0,6,1,,1,2
3,Node,Node.1.1,4,4,1,1,2,3
4,Node,Node.1.2,0,0,1,2,2,3
5,Node,Node.1.3,2,2,1,3,2,3
6,Node,Node.1.4,0,0,1,4,2,3
7,Node,Node.1.5,0,0,1,5,2,3
8,Node,Node.1.6,0,0,1,6,2,3
9,Node,Node.1.7,0,0,1,7,2,3
10,Node,Node.1.8,0,0,1,8,2,3
11,Node,Node.1.9,0,0,1,9,2,3
12,Node,Node.1.10,0,0,1,10,2,3
13,Node,Node.1.11,0,0,1,11,2,3
14,Node,Node.1.12,0,0,1,12,2,3
15,Node,Node.1.13,0,0,1,13,2,3
16,Node,Node.1.14,0,0,1,14,2,3
17,Node,Node.1.15,0,0,1,15,2,3
18,Node,Node.1.16,0,0,1,16,2,3
19,Node,Node.1.17,0,0,1,17,2,3
20,Node,Node.1.18,0,0,1,18,2,3
21,Node,Node.1.19,0,0,1,19,2,3
22,Node,Node.1.20,0,0,1,20,2,3
23,Node,Node.1.21,0,0,1,21,2,3
24,Node,Node.1.22,0,0,1,22,2,3
25,Node,Node.1.23,0,0,1,23,2,3
26,Node,Node.1.24,0,0,1,24,2,3
27,Node,Node.1.25,0,0,1,25,2,3
28,Node,Node.1.26,0,0,1,26,2,3
29,Node,Node.1.27,0,0,1,27,2,3
30,Node,Node.1.28,0,0,1,28,2,3
31,Node,Node.1.29,0,0,1,29,2,3
32,Node,Node.1.30,0,0,1,30,2,3
33,Core,Core.2,0,0,2,,1,2
34,Node,Node.2.1,0,0,2,1,33,3
35,Node,Node.2.2,0,0,2,2,33,3
36,Node,Node.2.3,0,0,2,3,33,3
37,Node,Node.2.4,0,0,2,4,33,3
38,Node,Node.2.5,0,0,2,5,33,3
39,Node,Node.2.6,0,0,2,6,33,3
40,Node,Node.2.7,0,0,2,7,33,3
41,Node,Node.2.8,0,0,2,8,33,3
42,Node,Node.2.9,0,0,2,9,33,3
43,Node,Node.2.10,0,0,2,10,33,3
44,Node,Node.2.11,0,0,2,11,33,3
45,Node,Node.2.12,0,0,2,12,33,3
46,Node,Node.2.13,0,0,2,13,33,3
47,Node,Node.2.14,0,0,2,14,33,3
48,Node,Node.2.15,0,0,2,15,33,3
49,Node,Node.2.16,0,0,2,16,33,3
